naslov,avtor,tip_oddaje,datum
Ljubljana v aleksandrincu (29. 4. 1978),Anonymous,Špajza RŠ,3. 8. 2024 – 12.00
Razjasnitev,Siri Savski,Kulturni obzornik,2. 8. 2024 – 13.15
Show 1008: ZÄRTLICH GEHT DIE WELT ZUGRUNDE: STILL LOOKING FOR MEDUSA by NINA M. W. QUEIßNER & LINDA WEIß,Anonymous,Radia Network,1. 8. 2024 – 22.30
Inceli in kriza moškosti,Nika Gradišek,Sektor Ž,1. 8. 2024 – 21.30
Veliki monolog za veliko mizo,Tia Rozman,Teater v eter,1. 8. 2024 – 13.45
Polaganje novih tirnic,Lea Sande,Kulturni obzornik,31. 7. 2024 – 13.15
Trienalne trojnosti,Neža Urbiha,Fine umetnosti,30. 7. 2024 – 13.15
»Brneči algoritmi jate«,Samo Oleami,Ulična kritika,29. 7. 2024 – 23.00
Dobimo se pred Škucem,Tia Rozman,Kulturni obzornik,29. 7. 2024 – 13.15
Upodobiti se: metoda,Laura Drašler,Objekt meseca,28. 7. 2024 – 18.00
Show 1007: Escucha/Listen (TEAFM Radio Workshop),Anonymous,Radia Network,25. 7. 2024 – 22.30
Martin Krpan se bori proti teroristom (8. 12. 1977),Anonymous,Špajza RŠ,24. 7. 2024 – 21.00
Had,Mato Žgajner,Pritiskavec Gold,23. 7. 2024 – 21.00
From Nadya with love,Tina Tomšič,Pisma iz tujine,18. 7. 2024 – 13.15
Na meji,Metod Zupan,Kulturni obzornik,17. 7. 2024 – 13.15
That don't impress me much,Michael C. Jumic,Leteči pilot,16. 7. 2024 – 21.00
Naša žena je dobro zdresirana,Hana Samec Sekereš,Dlako z jezika,16. 7. 2024 – 13.45
Razred in spol,Matjaž Zorec,Humanistika,16. 7. 2024 – 13.15
Leaving LA,William Blomstedt,Tube(son),15. 7. 2024 – 23.00
Strukture spektatorske zadetosti,Marko Miočić,Temna zvezda,15. 7. 2024 – 20.00
SHOW 1006: SHINY REFLEXIONS (WIENER RADIA KOLLEKTIV),Anonymous,Radia Network,11. 7. 2024 – 22.30
Šogakat Vardanjan,Vid Bešter,Subjekt meseca,11. 7. 2024 – 13.40
Približan pogled kamere,Vanja Gajić,Kinobar,11. 7. 2024 – 13.15
Pričakovala ne bom več,Laura Drašler,Kosilo nekega molja,9. 7. 2024 – 13.45
Najbolje se tripa na rdeči tableti,Metod Zupan,Teater v eter,9. 7. 2024 – 13.15
»You’re perfect. You’re beautiful. You look like Linda Evangelista.«,Brina Jerko,Teritorij teatra,8. 7. 2024 – 20.00
Energetika načela ugodja,Marko Miočić,Teorema,7. 7. 2024 – 20.00
Totalitaristični mravljinci in človeškost,Nik Rus,Stripofilija,7. 7. 2024 – 18.00
SHOW 1005: SCRATCH (*DUUU RADIO),Anonymous,Radia Network,4. 7. 2024 – 22.30
Melodije neke dekonst-rock-cije,Samo Oleami,Fine umetnosti,4. 7. 2024 – 13.15
Do the collapse,Michael C. Jumic,Leteči pilot,2. 7. 2024 – 21.00
Teorija in praksa kot dve plati istega kovanca,Tina Tomšič,Art-area,1. 7. 2024 – 23.00
Logos gola,Matjaž Zorec,Literarni incest,1. 7. 2024 – 20.00
"Wittig in Zeig, Lezbično ljudstvo: gradivo za slovar",Hana Samec Sekereš,Tu pa tam,30. 6. 2024 – 20.00
Manifest kvirovskega humanizma z dolgo preambulo,Metod Zupan,Teorema,30. 6. 2024 – 18.00
Radart #15: Raz(n)očaranje,Urška Savič,R A D A R,28. 6. 2024 – 20.00
Podpihovanje pikslaste žerjavice,Lea Sande,Kulturni obzornik,28. 6. 2024 – 13.15
Show 1004: Stopcock (for Radia) by Clinton Green (Radio One 91 FM),Kulturno uredništvo,Radia Network,27. 6. 2024 – 22.30
"Kviriti, in ne kvariti",Matija Pohorec,Dlako z jezika,27. 6. 2024 – 13.15
»To reclaim queerness as statelessness«,Metod Zupan,Kulturni obzornik,26. 6. 2024 – 13.15
Zašpilaj eno domačo!,Mato Žgajner,Pritiskavec Gold,25. 6. 2024 – 21.00
Vidme v Tifli!,Matija Pohorec,Uhljač,24. 6. 2024 – 23.00
O Borštnikovanju,RKHV Vajenke,Kulturni obzornik,24. 6. 2024 – 13.15
Jebeš univerzalnost,Hana Samec Sekereš,Teorema,23. 6. 2024 – 20.00
Kako misliti mavrično nasilje?,Lea Sande,Kulturni obzornik,21. 6. 2024 – 13.15
Show1003 : The Jingle Book by Alan Dunn (TT Node),Kulturno uredništvo,Radia Network,20. 6. 2024 – 22.30
Pozor: Strogo zaupno.,Nastja Virk,Teater v eter,20. 6. 2024 – 13.45
O Kirkwood na slovenskih odrih,Nastja Virk,Teater v eter,20. 6. 2024 – 13.15
Neuporabne lezbijke in tragične biseksualke,Neja Berger,Kulturni obzornik,19. 6. 2024 – 13.15
